Date,NR,WR,SR,ER,NER,All India
01-Nov-25,55332,59727,48787,24513,2985,189169
02-Nov-25,55332,59727,48787,24513,2985,189169
03-Nov-25,56810,62053,51725,24177,3111,196751
04-Nov-25,56100,62202,52153,24022,3244,195965
05-Nov-25,56355,62553,51848,23898,3170,196314
06-Nov-25,56753,62217,50142,24339,3214,196009
07-Nov-25,56307,62718,51193,23812,3287,195368
08-Nov-25,55907,62259,51104,22762,3219,193177
09-Nov-25,52081,59415,47539,21853,2899,178793
10-Nov-25,54764,62728,52793,22515,2989,192252
11-Nov-25,56210,64574,53406,23772,3114,197375
12-Nov-25,56743,65996,54227,23088,3097,196881
13-Nov-25,57629,66113,53793,23136,3066,200195
14-Nov-25,57820,64132,54672,22657,3056,199057
15-Nov-25,57394,65762,52595,21597,3072,197020
16-Nov-25,54838,63588,50052,20711,2778,187958
17-Nov-25,58244,65705,53249,22032,2987,197064
18-Nov-25,58762,66125,53032,22108,3030,198174
19-Nov-25,59186,66531,52921,22548,3016,199714
20-Nov-25,59186,66531,52921,22548,3016,199714
21-Nov-25,62911,69823,56355,22758,2989,210085
22-Nov-25,59268,69301,53697,22274,2988,204324
23-Nov-25,59728,68694,49122,21382,2729,198364
24-Nov-25,61039,71575,52599,22378,2916,205965
25-Nov-25,63430,71507,52636,22777,2953,207619
26-Nov-25,64241,71894,53728,22218,3190,210885
27-Nov-25,63209,72758,53753,22881,2957,211862
28-Nov-25,65242,72476,55203,23102,2948,215543
29-Nov-25,64475,71325,54367,22429,2906,211575
30-Nov-25,63501,68973,49825,21571,2771,203778
