Date,NR,WR,SR,ER,All India
01-Nov-25,154,71,186,79,29
02-Nov-25,155,60,182,81,27
03-Nov-25,154,54,170,71,26
04-Nov-25,154,50,176,63,23
05-Nov-25,152,58,178,59,21
06-Nov-25,141,56,178,54,20
07-Nov-25,141,56,185,51,20
08-Nov-25,139,50,170,47,20
09-Nov-25,137,39,148,47,19
10-Nov-25,138,42,165,43,18
11-Nov-25,139,44,128,39,19
12-Nov-25,130,48,128,40,18
13-Nov-25,131,36,109,36,17
14-Nov-25,130,42,108,36,16
15-Nov-25,131,33,103,34,16
16-Nov-25,125,29,98,32,16
17-Nov-25,123,30,96,35,16
18-Nov-25,125,33,95,35,16
19-Nov-25,132,38,101,31,16
20-Nov-25,127,29,95,35,16
21-Nov-25,129,42,109,33,16
22-Nov-25,122,45,102,31,16
23-Nov-25,117,33,91,29,15
24-Nov-25,120,43,101,30,15
25-Nov-25,120,46,95,33,17
26-Nov-25,119,44,96,31,14
27-Nov-25,115,38,99,31,14
28-Nov-25,116,35,98,27,15
29-Nov-25,118,34,100,28,14
30-Nov-25,115,26,88,28,14
