Date,NR,WR,SR,ER,All India
01-Nov-25,166,108,148,2.1,0.3
02-Nov-25,154,103,125,2.8,0.3
03-Nov-25,158,113,131,3.2,0.9
04-Nov-25,167,137,98,3.0,1.0
05-Nov-25,162,139,112,3.5,0.6
06-Nov-25,171,145,104,3.2,0.7
07-Nov-25,171,152,122,3.3,1.0
08-Nov-25,162,159,135,3.9,1.1
09-Nov-25,160,162,126,3.7,1.2
10-Nov-25,185,164,133,3.8,1.1
11-Nov-25,179,161,136,3.4,1.0
12-Nov-25,180,156,129,3.7,1.0
13-Nov-25,182,153,124,3.6,1.0
14-Nov-25,192,161,127,3.5,1.0
15-Nov-25,186,156,147,3.7,1.1
16-Nov-25,185,151,125,3.5,1.2
17-Nov-25,196,154,119,3.2,1.2
18-Nov-25,191,159,100,2.8,1.2
19-Nov-25,180,157,128,2.9,1.1
20-Nov-25,180,147,152,3.4,1.1
21-Nov-25,177,155,115,2.8,2.0
22-Nov-25,172,150,98,3.0,0.8
23-Nov-25,172,147,104,2.6,0.6
24-Nov-25,162,140,109,3.0,1.0
25-Nov-25,174,134,132,3.0,1.1
26-Nov-25,166,137,118,2.8,1.1
27-Nov-25,146,132,114,3.4,1.1
28-Nov-25,149,126,99,2.8,1.1
29-Nov-25,152,130,81,3.2,1.0
30-Nov-25,167,135,88,3.0,0.9
