Date,NR,WR,SR,ER,NER,All India
01-Nov-25,4,94,52,0,0,150
02-Nov-25,5,59,61,0,0,125
03-Nov-25,13,93,68,0,0,174
04-Nov-25,27,101,73,0,0,201
05-Nov-25,6,32,47,0,0,85
06-Nov-25,12,34,49,0,0,95
07-Nov-25,12,43,19,0,0,74
08-Nov-25,6,47,26,0,0,79
09-Nov-25,3,30,21,0,0,53
10-Nov-25,2,22,11,0,0,35
11-Nov-25,4,25,13,0,0,42
12-Nov-25,3,40,38,0,0,80
13-Nov-25,3,62,57,0,0,122
14-Nov-25,3,68,62,0,0,133
15-Nov-25,6,79,55,0,0,140
16-Nov-25,3,104,74,0,0,181
17-Nov-25,3,101,68,0,0,171
18-Nov-25,2,92,62,0,0,157
19-Nov-25,6,66,39,0,0,110
20-Nov-25,6,71,61,0,0,138
21-Nov-25,8,74,65,0,0,147
22-Nov-25,12,61,67,0,0,140
23-Nov-25,8,47,68,0,0,123
24-Nov-25,10,77,83,0,0,170
25-Nov-25,28,105,99,0,0,231
26-Nov-25,28,73,97,0,0,198
27-Nov-25,34,100,104,0,0,238
28-Nov-25,40,117,68,0,0,225
29-Nov-25,34,104,58,0,0,196
30-Nov-25,11,66,46,0,0,123
