Date,NR,WR,SR,ER,All India
01-Dec-25,118,46,109,25,13
02-Dec-25,118,51,105,26,13
03-Dec-25,118,51,105,26,13
04-Dec-25,114,50,97,25,12
05-Dec-25,116,49,99,26,12
06-Dec-25,116,48,105,23,13
07-Dec-25,115,39,92,20,12
08-Dec-25,110,45,102,23,12
09-Dec-25,110,39,104,23,12
10-Dec-25,112,41,111,24,13
11-Dec-25,112,41,109,21,13
12-Dec-25,119,41,115,22,13
13-Dec-25,118,37,114,19,12
14-Dec-25,115,29,95,17,11
15-Dec-25,120,33,98,19,11
16-Dec-25,123,36,95,17,10
17-Dec-25,123,43,98,20,10
18-Dec-25,122,45,101,17,10
19-Dec-25,122,47,99,21,10
20-Dec-25,124,47,100,19,11
21-Dec-25,122,52,88,19,10
22-Dec-25,124,52,92,22,11
23-Dec-25,119,59,91,20,15
24-Dec-25,115,53,87,24,15
25-Dec-25,117,39,79,19,15
26-Dec-25,116,38,80,17,17
27-Dec-25,116,39,80,18,14
28-Dec-25,116,39,75,17,14
29-Dec-25,114,46,86,20,14
30-Dec-25,114,50,100,22,15
31-Dec-25,112,54,103,22,15
