Date,NR,WR,SR,ER,All India
01-Dec-25,166,140,111,1.8,0.9
02-Dec-25,171,153,81,2.8,0.9
03-Dec-25,171,153,81,2.8,0.9
04-Dec-25,184,150,93,3.1,1.0
05-Dec-25,180,147,101,2.8,1.0
06-Dec-25,136,138,119,2.9,1.1
07-Dec-25,171,153,120,3.4,1.1
08-Dec-25,184,167,147,2.9,1.1
09-Dec-25,189,168,139,3.1,1.1
10-Dec-25,189,171,135,3.4,1.1
11-Dec-25,187,170,152,3.4,1.1
12-Dec-25,175,171,146,3.2,1.1
13-Dec-25,156,167,154,3.2,1.1
14-Dec-25,142,162,157,3.4,1.1
15-Dec-25,164,163,155,3.0,1.1
16-Dec-25,162,162,107,2.8,1.0
17-Dec-25,173,162,122,2.8,1.0
18-Dec-25,153,162,149,2.9,1.1
19-Dec-25,173,165,152,2.3,1.1
20-Dec-25,160,161,155,2.1,0.9
21-Dec-25,152,144,152,2.4,1.1
22-Dec-25,137,155,140,2.3,1.1
23-Dec-25,129,162,157,2.3,0.9
24-Dec-25,176,161,152,2.4,0.6
25-Dec-25,178,163,156,3.0,0.8
26-Dec-25,178,163,144,3.1,0.8
27-Dec-25,161,160,151,3.0,0.8
28-Dec-25,162,163,148,3.0,0.8
29-Dec-25,171,160,146,2.5,0.5
30-Dec-25,169,150,148,2.7,0.4
31-Dec-25,108,138,131,3.1,0.6
