Date,NR,WR,SR,ER,NER,All India
01-Dec-25,5,38,30,0,0,73
02-Dec-25,23,108,49,0,0,179
03-Dec-25,23,108,49,0,0,179
04-Dec-25,19,129,66,0,0,214
05-Dec-25,11,132,87,0,0,229
06-Dec-25,13,120,80,0,0,214
07-Dec-25,10,83,84,0,0,177
08-Dec-25,5,95,70,0,0,171
09-Dec-25,3,118,85,0,0,205
10-Dec-25,4,74,97,0,0,176
11-Dec-25,2,44,89,0,0,136
12-Dec-25,4,39,53,0,0,96
13-Dec-25,4,39,53,0,0,96
14-Dec-25,3,71,70,0,0,145
15-Dec-25,7,95,82,0,0,183
16-Dec-25,11,136,96,0,0,243
17-Dec-25,5,73,93,0,0,170
18-Dec-25,4,55,94,0,0,153
19-Dec-25,2,50,74,0,0,126
20-Dec-25,2,30,49,0,0,81
21-Dec-25,4,43,69,0,0,115
22-Dec-25,8,62,68,0,0,138
23-Dec-25,13,101,46,0,0,160
24-Dec-25,4,103,50,0,0,156
25-Dec-25,3,60,51,0,0,113
26-Dec-25,4,54,62,0,0,120
27-Dec-25,9,53,70,0,0,132
28-Dec-25,5,51,59,0,0,115
29-Dec-25,3,40,57,0,0,101
30-Dec-25,5,18,29,0,0,52
31-Dec-25,16,42,19,0,0,78
