Date,Demand_NR,Demand_WR,Demand_SR,Demand_ER,Demand_NER,Demand_All India,Hydro_NR,Hydro_WR,Hydro_SR,Hydro_ER,Hydro_All India,Solar_NR,Solar_WR,Solar_SR,Solar_ER,Solar_All India,Wind_NR,Wind_WR,Wind_SR,Wind_ER,Wind_NER,Wind_All India
01-Nov-25,55332,59727,48787,24513,2985,189169,154,71,186,79,29,166,108,148,2.1,0.3,4,94,52,0,0,150
02-Nov-25,55332,59727,48787,24513,2985,189169,155,60,182,81,27,154,103,125,2.8,0.3,5,59,61,0,0,125
03-Nov-25,56810,62053,51725,24177,3111,196751,154,54,170,71,26,158,113,131,3.2,0.9,13,93,68,0,0,174
04-Nov-25,56100,62202,52153,24022,3244,195965,154,50,176,63,23,167,137,98,3.0,1.0,27,101,73,0,0,201
05-Nov-25,56355,62553,51848,23898,3170,196314,152,58,178,59,21,162,139,112,3.5,0.6,6,32,47,0,0,85
06-Nov-25,56753,62217,50142,24339,3214,196009,141,56,178,54,20,171,145,104,3.2,0.7,12,34,49,0,0,95
07-Nov-25,56307,62718,51193,23812,3287,195368,141,56,185,51,20,171,152,122,3.3,1.0,12,43,19,0,0,74
08-Nov-25,55907,62259,51104,22762,3219,193177,139,50,170,47,20,162,159,135,3.9,1.1,6,47,26,0,0,79
09-Nov-25,52081,59415,47539,21853,2899,178793,137,39,148,47,19,160,162,126,3.7,1.2,3,30,21,0,0,53
10-Nov-25,54764,62728,52793,22515,2989,192252,138,42,165,43,18,185,164,133,3.8,1.1,2,22,11,0,0,35
11-Nov-25,56210,64574,53406,23772,3114,197375,139,44,128,39,19,179,161,136,3.4,1.0,4,25,13,0,0,42
12-Nov-25,56743,65996,54227,23088,3097,196881,130,48,128,40,18,180,156,129,3.7,1.0,3,40,38,0,0,80
13-Nov-25,57629,66113,53793,23136,3066,200195,131,36,109,36,17,182,153,124,3.6,1.0,3,62,57,0,0,122
14-Nov-25,57820,64132,54672,22657,3056,199057,130,42,108,36,16,192,161,127,3.5,1.0,3,68,62,0,0,133
15-Nov-25,57394,65762,52595,21597,3072,197020,131,33,103,34,16,186,156,147,3.7,1.1,6,79,55,0,0,140
16-Nov-25,54838,63588,50052,20711,2778,187958,125,29,98,32,16,185,151,125,3.5,1.2,3,104,74,0,0,181
